code,energy_kcal_100g,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,predict
3760320792579,383.0,1602.0,3.5,1.5,10.0,4.6,69.3,1.9,0.76,2
6253337904020,86.0,360.0,3.8,1.7,11.2,11.0,1.7,0.0,0.0,1
3416952626040,58.0,243.0,0.7,0.0,9.9,7.5,1.5,0.56,0.224,1
25555800851,57.377049180328,240.0,0.0,0.0,13.934426229508,12.295081967213,0.0,0.0,0.0,1
8433329049917,339.0,1418.0,1.2,0.3,70.0,1.1,10.0,2.0,0.8,2
8414493020001,55.0,230.0,0.1,0.1,1.2,1.2,1.0,0.1,0.04,1
4260307170028,20.0,84.0,0.5,0.5,3.7,2.2,1.0,0.18,0.072,1
853256007114,52.307692307692,219.0,2.7692307692308,1.8461538461538,2.7692307692308,1.2307692307692,4.6153846153846,0.26153846153845,0.10461538461538,1
888670064733,53.0,222.0,1.63,0.61,4.9,1.63,4.49,0.795,0.318,1
9300633715168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8015488300124,508.0,2125.0,20.76,8.83,69.82,26.7,10.46,0.0,0.0,2
3455149000546,237.0,992.0,0.5,0.1,57.0,55.0,0.8,0.01,0.004,3
0259331013580,119.0,498.0,2.8,1.1,1.0,1.0,23.0,2.2,0.88,1
0047469060763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
71072012482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22506135635,857.0,3586.0,100.0,85.71,0.0,0.0,0.0,0.0,0.0,0
2251680002572,221.0,925.0,17.0,6.6,7.0,1.8,10.0,1.4,0.56,3
1804199000051,555.0,2322.0,33.1,19.9,58.2,56.6,5.9,0.16,0.064,2
3419390404669,0.0,1683.0,19.0,12.0,48.0,15.0,8.6,1.3,0.52,2
3490217000202,30.0,126.0,0.7,0.4,4.4,1.7,9.0,43.0,17.2,1
3760101800257,220.0,920.0,0.01,0.01,54.0,48.0,0.01,0.01,0.004,3
3353661111149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
207133508001,89.285714285714,374.0,1.7857142857143,0.0,1.7857142857143,1.7857142857143,17.857142857143,1.9642857142857,0.78571428571428,1
8033520541977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3266110600616,298.0,1247.0,25.0,7.0,1.5,1.5,17.0,2.6,1.04,3
5060079651751,289.0,1209.0,6.4,2.6,23.6,22.7,34.0,3.04,1.216,3
5425008340012,510.0,2132.0,35.0,21.9,34.3,29.0,5.3,0.0127,0.00508,2
3800048220203,2.0,8.0,0.0,0.0,0.0,0.0,7.0,7.0,2.8,1
0041800302635,47.457627118644,199.0,0.0,0.0,11.864406779661,11.186440677966,0.0,0.016949152542373,0.0067796610169492,1
7110021362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3117753052570,99.0,414.0,0.8,0.3,0.5,0.1,23.0,0.75,0.3,1
2488628021658,299.0,1251.0,25.0,20.0,0.5,0.5,18.0,0.0,0.0,3
8410191682916,455.0,1904.0,25.0,14.0,46.0,27.0,7.0,1.0,0.4,2
4260402961361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5600961118063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
